max_depth,min_samples_leaf,min_samples_split,n_estimators,score
12,5,10,300,0.789 
3,3,8,50,0.580 
3,3,8,50,0.571 
3,3,8,50,0.558 
15,5,6,150,0.812 
12,5,10,300,0.808 
12,3,10,200,0.753 
15,2,6,100,0.769 
15,2,6,100,0.807 
12,3,10,200,0.798 
12,3,10,200,0.807 
15,3,8,25,0.754 
9,2,8,200,0.778 
9,2,8,200,0.742 
9,2,8,200,0.785 
15,3,8,25,0.789 
15,3,8,25,0.804 
15,2,6,100,0.831 
3,4,10,300,0.572 
3,4,10,300,0.580 
3,4,10,300,0.552 
9,1,12,50,0.764 
9,1,12,50,0.738 
9,1,12,50,0.771 
6,5,10,250,0.667 
9,3,12,350,0.725 
15,2,6,300,0.779 
15,2,6,300,0.813 
15,2,6,300,0.834 
6,5,10,250,0.685 
9,3,12,350,0.772 
9,3,12,350,0.784 
6,5,10,250,0.689 
6,3,14,250,0.670 
6,3,14,250,0.690 
6,3,14,250,0.689 
6,1,14,300,0.668 
6,1,14,300,0.691 
6,1,14,300,0.694 
9,4,14,300,0.723 
9,4,14,300,0.784 
9,4,14,300,0.767 
9,2,4,300,0.787 
15,1,14,350,0.763 
9,2,4,300,0.740 
15,1,14,350,0.807 
15,1,14,350,0.812 
6,2,4,200,0.678 
6,2,4,200,0.685 
3,3,10,150,0.585 
3,3,10,150,0.577 
3,3,10,150,0.553 
6,2,4,200,0.686 
12,4,14,250,0.780 
12,4,14,250,0.809 
12,4,14,250,0.744 
9,2,4,300,0.790 
